Date,Open,High,Low,Close,Adj Close,Volume
2019-06-25,11681.000000,11814.400391,11651.000000,11796.450195,11796.450195,300500
2019-06-26,11768.150391,11871.849609,11757.549805,11847.549805,11847.549805,327900
2019-06-27,11860.849609,11911.150391,11821.049805,11841.549805,11841.549805,480200
2019-06-28,11861.150391,11871.700195,11775.500000,11788.849609,11788.849609,303900
2019-07-01,11839.900391,11884.650391,11830.799805,11865.599609,11865.599609,278400
2019-07-02,11890.299805,11917.450195,11814.700195,11910.299805,11910.299805,363200
2019-07-03,11932.150391,11945.200195,11887.049805,11916.750000,11916.750000,340500
2019-07-04,11928.799805,11969.250000,11923.650391,11946.750000,11946.750000,333600
2019-07-05,11964.750000,11981.750000,11797.900391,11811.150391,11811.150391,530700
2019-07-08,11770.400391,11771.900391,11523.299805,11558.599609,11558.599609,464000
2019-07-09,11531.599609,11582.549805,11461.000000,11555.900391,11555.900391,442500
2019-07-10,11536.150391,11593.700195,11475.650391,11498.900391,11498.900391,337600
2019-07-11,11561.450195,11599.000000,11519.500000,11582.900391,11582.900391,317300
2019-07-12,11601.150391,11639.549805,11538.599609,11552.500000,11552.500000,359400
2019-07-15,11614.750000,11618.400391,11532.299805,11588.349609,11588.349609,368800
2019-07-16,11596.650391,11670.049805,11573.950195,11662.599609,11662.599609,480200
2019-07-17,11670.750000,11706.650391,11651.150391,11687.500000,11687.500000,464800
2019-07-18,11675.599609,11677.150391,11582.400391,11596.900391,11596.900391,498300
2019-07-19,11627.950195,11640.349609,11399.299805,11419.250000,11419.250000,446000
2019-07-22,11392.849609,11398.150391,11301.250000,11346.200195,11346.200195,516000
2019-07-23,11372.250000,11398.150391,11302.799805,11331.049805,11331.049805,458900
2019-07-24,11322.450195,11359.750000,11229.799805,11271.299805,11271.299805,413200
2019-07-25,11290.400391,11361.400391,11239.349609,11252.150391,11252.150391,553700
2019-07-26,11247.450195,11307.599609,11210.049805,11284.299805,11284.299805,522700
2019-07-29,11307.500000,11310.950195,11152.400391,11189.200195,11189.200195,482900
2019-07-30,11213.700195,11267.450195,11072.650391,11085.400391,11085.400391,479100
2019-07-31,11034.049805,11145.299805,10999.400391,11118.000000,11118.000000,536700
2019-08-01,11060.200195,11076.750000,10881.000000,10980.000000,10980.000000,499900
2019-08-02,10930.299805,11080.150391,10848.950195,10997.349609,10997.349609,547400
2019-08-05,10895.799805,10895.799805,10782.599609,10862.599609,10862.599609,506600
2019-08-06,10815.400391,11018.549805,10813.799805,10948.250000,10948.250000,517900
2019-08-07,10958.099609,10975.650391,10835.900391,10855.500000,10855.500000,548500
2019-08-08,10899.200195,11058.049805,10842.950195,11032.450195,11032.450195,482500
2019-08-09,11087.900391,11181.450195,11062.799805,11109.650391,11109.650391,538100
2019-08-13,11139.400391,11145.900391,10901.599609,10925.849609,10925.849609,624600
2019-08-14,11003.250000,11078.150391,10935.599609,11029.400391,11029.400391,511500
2019-08-16,11043.650391,11068.650391,10924.299805,11047.799805,11047.799805,470900
2019-08-19,11094.799805,11146.900391,11037.849609,11053.900391,11053.900391,369500
2019-08-20,11063.900391,11076.299805,10985.299805,11017.000000,11017.000000,444700
2019-08-21,11018.150391,11034.200195,10906.650391,10918.700195,10918.700195,557900
2019-08-22,10905.299805,10908.250000,10718.299805,10741.349609,10741.349609,668200
2019-08-23,10699.599609,10862.549805,10637.150391,10829.349609,10829.349609,667100
2019-08-26,11000.299805,11070.299805,10756.549805,11057.849609,11057.849609,684100
2019-08-27,11106.549805,11141.750000,11049.500000,11105.349609,11105.349609,685600
2019-08-28,11101.299805,11129.650391,10987.650391,11046.099609,11046.099609,550000
2019-08-29,10996.049805,11021.099609,10922.400391,10948.299805,10948.299805,649900
2019-08-30,10987.799805,11042.599609,10874.799805,11023.250000,11023.250000,628200
